chemical_name,e_number,category,purpose,risk_level,health_concerns,safe_limit,aliases
Food Additive E1497,INS 1497,Emulsifier,Mixes oil and water,Low,Generally considered safe in food amounts,ADI 0-97 mg/kg,"E1497,INS 1497"
Food Additive E1498,INS 1498,Emulsifier,Mixes oil and water,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1498,INS 1498"
Food Additive E1499,INS 1499,Emulsifier,Mixes oil and water,High,May cause health issues in sensitive individuals,ADI 0-99 mg/kg,"E1499,INS 1499"
Food Additive E1500,INS 1500,Thickener,Adds texture,Minimal,Generally considered safe in food amounts,ADI not specified,"E1500,INS 1500"
Food Additive E1501,INS 1501,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-1 mg/kg,"E1501,INS 1501"
Food Additive E1502,INS 1502,Thickener,Adds texture,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1502,INS 1502"
Food Additive E1503,INS 1503,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-3 mg/kg,"E1503,INS 1503"
Food Additive E1504,INS 1504,Thickener,Adds texture,Minimal,Generally considered safe in food amounts,ADI not specified,"E1504,INS 1504"
Food Additive E1506,INS 1506,Thickener,Adds texture,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1506,INS 1506"
Food Additive E1507,INS 1507,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-7 mg/kg,"E1507,INS 1507"
Food Additive E1508,INS 1508,Thickener,Adds texture,Minimal,Generally considered safe in food amounts,ADI not specified,"E1508,INS 1508"
Food Additive E1509,INS 1509,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-9 mg/kg,"E1509,INS 1509"
Food Additive E1511,INS 1511,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-11 mg/kg,"E1511,INS 1511"
Food Additive E1512,INS 1512,Thickener,Adds texture,Minimal,Generally considered safe in food amounts,ADI not specified,"E1512,INS 1512"
Food Additive E1513,INS 1513,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-13 mg/kg,"E1513,INS 1513"
Food Additive E1514,INS 1514,Thickener,Adds texture,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1514,INS 1514"
Food Additive E1515,INS 1515,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-15 mg/kg,"E1515,INS 1515"
Food Additive E1516,INS 1516,Thickener,Adds texture,Minimal,Generally considered safe in food amounts,ADI not specified,"E1516,INS 1516"
Food Additive E1519,INS 1519,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-19 mg/kg,"E1519,INS 1519"
Food Additive E1521,INS 1521,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-21 mg/kg,"E1521,INS 1521"
Food Additive E1525,INS 1525,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-25 mg/kg,"E1525,INS 1525"
Food Additive E1526,INS 1526,Thickener,Adds texture,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1526,INS 1526"
Food Additive E1527,INS 1527,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-27 mg/kg,"E1527,INS 1527"
Food Additive E1528,INS 1528,Thickener,Adds texture,Minimal,Generally considered safe in food amounts,ADI not specified,"E1528,INS 1528"
Food Additive E1529,INS 1529,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-29 mg/kg,"E1529,INS 1529"
Food Additive E1531,INS 1531,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-31 mg/kg,"E1531,INS 1531"
Food Additive E1532,INS 1532,Thickener,Adds texture,Minimal,Generally considered safe in food amounts,ADI not specified,"E1532,INS 1532"
Food Additive E1533,INS 1533,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-33 mg/kg,"E1533,INS 1533"
Food Additive E1534,INS 1534,Thickener,Adds texture,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1534,INS 1534"
Food Additive E1535,INS 1535,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-35 mg/kg,"E1535,INS 1535"
Food Additive E1536,INS 1536,Thickener,Adds texture,Minimal,Generally considered safe in food amounts,ADI not specified,"E1536,INS 1536"
Food Additive E1537,INS 1537,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-37 mg/kg,"E1537,INS 1537"
Food Additive E1538,INS 1538,Thickener,Adds texture,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1538,INS 1538"
Food Additive E1539,INS 1539,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-39 mg/kg,"E1539,INS 1539"
Food Additive E1541,INS 1541,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-41 mg/kg,"E1541,INS 1541"
Food Additive E1543,INS 1543,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-43 mg/kg,"E1543,INS 1543"
Food Additive E1544,INS 1544,Thickener,Adds texture,Minimal,Generally considered safe in food amounts,ADI not specified,"E1544,INS 1544"
Food Additive E1545,INS 1545,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-45 mg/kg,"E1545,INS 1545"
Food Additive E1546,INS 1546,Thickener,Adds texture,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1546,INS 1546"
Food Additive E1547,INS 1547,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-47 mg/kg,"E1547,INS 1547"
Food Additive E1549,INS 1549,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-49 mg/kg,"E1549,INS 1549"
Food Additive E1550,INS 1550,Thickener,Adds texture,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1550,INS 1550"
Food Additive E1551,INS 1551,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-51 mg/kg,"E1551,INS 1551"
Food Additive E1556,INS 1556,Thickener,Adds texture,Minimal,Generally considered safe in food amounts,ADI not specified,"E1556,INS 1556"
Food Additive E1557,INS 1557,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-57 mg/kg,"E1557,INS 1557"
Food Additive E1561,INS 1561,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-61 mg/kg,"E1561,INS 1561"
Food Additive E1562,INS 1562,Thickener,Adds texture,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1562,INS 1562"
Food Additive E1563,INS 1563,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-63 mg/kg,"E1563,INS 1563"
Food Additive E1564,INS 1564,Thickener,Adds texture,Minimal,Generally considered safe in food amounts,ADI not specified,"E1564,INS 1564"
Food Additive E1566,INS 1566,Thickener,Adds texture,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1566,INS 1566"
Food Additive E1567,INS 1567,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-67 mg/kg,"E1567,INS 1567"
Food Additive E1569,INS 1569,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-69 mg/kg,"E1569,INS 1569"
Food Additive E1570,INS 1570,Thickener,Adds texture,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1570,INS 1570"
Food Additive E1571,INS 1571,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-71 mg/kg,"E1571,INS 1571"
Food Additive E1572,INS 1572,Thickener,Adds texture,Minimal,Generally considered safe in food amounts,ADI not specified,"E1572,INS 1572"
Food Additive E1573,INS 1573,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-73 mg/kg,"E1573,INS 1573"
Food Additive E1574,INS 1574,Thickener,Adds texture,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1574,INS 1574"
Food Additive E1575,INS 1575,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-75 mg/kg,"E1575,INS 1575"
Food Additive E1579,INS 1579,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-79 mg/kg,"E1579,INS 1579"
Food Additive E1581,INS 1581,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-81 mg/kg,"E1581,INS 1581"
Food Additive E1582,INS 1582,Thickener,Adds texture,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1582,INS 1582"
Food Additive E1583,INS 1583,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-83 mg/kg,"E1583,INS 1583"
Food Additive E1585,INS 1585,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-85 mg/kg,"E1585,INS 1585"
Food Additive E1586,INS 1586,Thickener,Adds texture,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1586,INS 1586"
Food Additive E1587,INS 1587,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-87 mg/kg,"E1587,INS 1587"
Food Additive E1588,INS 1588,Thickener,Adds texture,Minimal,Generally considered safe in food amounts,ADI not specified,"E1588,INS 1588"
Food Additive E1589,INS 1589,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-89 mg/kg,"E1589,INS 1589"
Food Additive E1591,INS 1591,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-91 mg/kg,"E1591,INS 1591"
Food Additive E1592,INS 1592,Thickener,Adds texture,Minimal,Generally considered safe in food amounts,ADI not specified,"E1592,INS 1592"
Food Additive E1596,INS 1596,Thickener,Adds texture,Minimal,Generally considered safe in food amounts,ADI not specified,"E1596,INS 1596"
Food Additive E1597,INS 1597,Thickener,Adds texture,Low,Generally considered safe in food amounts,ADI 0-97 mg/kg,"E1597,INS 1597"
Food Additive E1598,INS 1598,Thickener,Adds texture,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1598,INS 1598"
Food Additive E1599,INS 1599,Thickener,Adds texture,High,May cause health issues in sensitive individuals,ADI 0-99 mg/kg,"E1599,INS 1599"
Food Additive E1600,INS 1600,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1600,INS 1600"
Food Additive E1601,INS 1601,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-1 mg/kg,"E1601,INS 1601"
Food Additive E1602,INS 1602,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1602,INS 1602"
Food Additive E1603,INS 1603,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-3 mg/kg,"E1603,INS 1603"
Food Additive E1604,INS 1604,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1604,INS 1604"
Food Additive E1605,INS 1605,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-5 mg/kg,"E1605,INS 1605"
Food Additive E1606,INS 1606,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1606,INS 1606"
Food Additive E1607,INS 1607,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-7 mg/kg,"E1607,INS 1607"
Food Additive E1608,INS 1608,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1608,INS 1608"
Food Additive E1609,INS 1609,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-9 mg/kg,"E1609,INS 1609"
Food Additive E1610,INS 1610,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1610,INS 1610"
Food Additive E1611,INS 1611,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-11 mg/kg,"E1611,INS 1611"
Food Additive E1612,INS 1612,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1612,INS 1612"
Food Additive E1613,INS 1613,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-13 mg/kg,"E1613,INS 1613"
Food Additive E1614,INS 1614,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1614,INS 1614"
Food Additive E1615,INS 1615,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-15 mg/kg,"E1615,INS 1615"
Food Additive E1616,INS 1616,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1616,INS 1616"
Food Additive E1617,INS 1617,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-17 mg/kg,"E1617,INS 1617"
Food Additive E1618,INS 1618,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1618,INS 1618"
Food Additive E1619,INS 1619,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-19 mg/kg,"E1619,INS 1619"
Food Additive E1620,INS 1620,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1620,INS 1620"
Food Additive E1621,INS 1621,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-21 mg/kg,"E1621,INS 1621"
Food Additive E1622,INS 1622,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1622,INS 1622"
Food Additive E1623,INS 1623,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-23 mg/kg,"E1623,INS 1623"
Food Additive E1624,INS 1624,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1624,INS 1624"
Food Additive E1625,INS 1625,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-25 mg/kg,"E1625,INS 1625"
Food Additive E1626,INS 1626,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1626,INS 1626"
Food Additive E1627,INS 1627,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-27 mg/kg,"E1627,INS 1627"
Food Additive E1628,INS 1628,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1628,INS 1628"
Food Additive E1629,INS 1629,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-29 mg/kg,"E1629,INS 1629"
Food Additive E1630,INS 1630,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1630,INS 1630"
Food Additive E1631,INS 1631,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-31 mg/kg,"E1631,INS 1631"
Food Additive E1632,INS 1632,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1632,INS 1632"
Food Additive E1633,INS 1633,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-33 mg/kg,"E1633,INS 1633"
Food Additive E1634,INS 1634,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1634,INS 1634"
Food Additive E1635,INS 1635,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-35 mg/kg,"E1635,INS 1635"
Food Additive E1636,INS 1636,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1636,INS 1636"
Food Additive E1637,INS 1637,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-37 mg/kg,"E1637,INS 1637"
Food Additive E1638,INS 1638,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1638,INS 1638"
Food Additive E1639,INS 1639,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-39 mg/kg,"E1639,INS 1639"
Food Additive E1640,INS 1640,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1640,INS 1640"
Food Additive E1641,INS 1641,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-41 mg/kg,"E1641,INS 1641"
Food Additive E1642,INS 1642,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1642,INS 1642"
Food Additive E1643,INS 1643,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-43 mg/kg,"E1643,INS 1643"
Food Additive E1644,INS 1644,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1644,INS 1644"
Food Additive E1645,INS 1645,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-45 mg/kg,"E1645,INS 1645"
Food Additive E1646,INS 1646,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1646,INS 1646"
Food Additive E1647,INS 1647,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-47 mg/kg,"E1647,INS 1647"
Food Additive E1648,INS 1648,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1648,INS 1648"
Food Additive E1649,INS 1649,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-49 mg/kg,"E1649,INS 1649"
Food Additive E1650,INS 1650,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1650,INS 1650"
Food Additive E1651,INS 1651,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-51 mg/kg,"E1651,INS 1651"
Food Additive E1652,INS 1652,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1652,INS 1652"
Food Additive E1653,INS 1653,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-53 mg/kg,"E1653,INS 1653"
Food Additive E1654,INS 1654,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1654,INS 1654"
Food Additive E1655,INS 1655,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-55 mg/kg,"E1655,INS 1655"
Food Additive E1656,INS 1656,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1656,INS 1656"
Food Additive E1657,INS 1657,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-57 mg/kg,"E1657,INS 1657"
Food Additive E1658,INS 1658,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1658,INS 1658"
Food Additive E1659,INS 1659,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-59 mg/kg,"E1659,INS 1659"
Food Additive E1660,INS 1660,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1660,INS 1660"
Food Additive E1661,INS 1661,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-61 mg/kg,"E1661,INS 1661"
Food Additive E1662,INS 1662,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1662,INS 1662"
Food Additive E1663,INS 1663,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-63 mg/kg,"E1663,INS 1663"
Food Additive E1664,INS 1664,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1664,INS 1664"
Food Additive E1665,INS 1665,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-65 mg/kg,"E1665,INS 1665"
Food Additive E1666,INS 1666,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1666,INS 1666"
Food Additive E1667,INS 1667,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-67 mg/kg,"E1667,INS 1667"
Food Additive E1668,INS 1668,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1668,INS 1668"
Food Additive E1669,INS 1669,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-69 mg/kg,"E1669,INS 1669"
Food Additive E1670,INS 1670,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1670,INS 1670"
Food Additive E1671,INS 1671,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-71 mg/kg,"E1671,INS 1671"
Food Additive E1672,INS 1672,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1672,INS 1672"
Food Additive E1673,INS 1673,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-73 mg/kg,"E1673,INS 1673"
Food Additive E1674,INS 1674,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1674,INS 1674"
Food Additive E1675,INS 1675,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-75 mg/kg,"E1675,INS 1675"
Food Additive E1676,INS 1676,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1676,INS 1676"
Food Additive E1677,INS 1677,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-77 mg/kg,"E1677,INS 1677"
Food Additive E1678,INS 1678,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1678,INS 1678"
Food Additive E1679,INS 1679,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-79 mg/kg,"E1679,INS 1679"
Food Additive E1680,INS 1680,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1680,INS 1680"
Food Additive E1681,INS 1681,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-81 mg/kg,"E1681,INS 1681"
Food Additive E1682,INS 1682,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1682,INS 1682"
Food Additive E1683,INS 1683,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-83 mg/kg,"E1683,INS 1683"
Food Additive E1684,INS 1684,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1684,INS 1684"
Food Additive E1685,INS 1685,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-85 mg/kg,"E1685,INS 1685"
Food Additive E1686,INS 1686,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1686,INS 1686"
Food Additive E1687,INS 1687,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-87 mg/kg,"E1687,INS 1687"
Food Additive E1688,INS 1688,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1688,INS 1688"
Food Additive E1689,INS 1689,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-89 mg/kg,"E1689,INS 1689"
Food Additive E1690,INS 1690,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1690,INS 1690"
Food Additive E1691,INS 1691,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-91 mg/kg,"E1691,INS 1691"
Food Additive E1692,INS 1692,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1692,INS 1692"
Food Additive E1693,INS 1693,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-93 mg/kg,"E1693,INS 1693"
Food Additive E1694,INS 1694,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1694,INS 1694"
Food Additive E1695,INS 1695,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-95 mg/kg,"E1695,INS 1695"
Food Additive E1696,INS 1696,Flavor Enhancer,Enhances taste,Minimal,Generally considered safe in food amounts,ADI not specified,"E1696,INS 1696"
Food Additive E1697,INS 1697,Flavor Enhancer,Enhances taste,Low,Generally considered safe in food amounts,ADI 0-97 mg/kg,"E1697,INS 1697"
Food Additive E1698,INS 1698,Flavor Enhancer,Enhances taste,Moderate,May cause health issues in sensitive individuals,ADI not specified,"E1698,INS 1698"
Food Additive E1699,INS 1699,Flavor Enhancer,Enhances taste,High,May cause health issues in sensitive individuals,ADI 0-99 mg/kg,"E1699,INS 1699"
